Fruit,spot,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,%DM,lycopene (DW),lycopene (FW),beta-carotene (DW),beta-carotene (FW)
1,A,64,50,0.295589694,0.377696664,0.706380627,0.710802446,0.604694996,0.399899879,White LED,100 mA,b'OK Read',10:34:03,5.686111108,1.747139767,0.099344308,3.721432533,0.211604789
1,B,64,50,0.33123695,0.380188274,0.75034378,0.731817928,0.674021832,0.429473316,White LED,100 mA,b'OK Read',10:38:44,5.686111108,1.747139767,0.099344308,3.721432533,0.211604789
1,C,64,50,0.371468994,0.473882148,0.767853979,0.786061271,0.721023361,0.518522888,White LED,100 mA,b'OK Read',10:41:00,5.686111108,1.747139767,0.099344308,3.721432533,0.211604789
1,D,64,50,0.317731946,0.418207122,0.707043629,0.725165879,0.622620379,0.441625967,White LED,100 mA,b'OK Read',10:43:07,5.686111108,1.747139767,0.099344308,3.721432533,0.211604789
2,A,64,50,0.344348688,0.444283311,0.750323208,0.76795085,0.685933818,0.49697139,White LED,100 mA,b'OK Read',11:24:01,6.058895851,0.160860791,0.009746388,3.072162694,0.186139138
2,B,64,50,0.369497919,0.445894279,0.796979422,0.797149559,0.711787757,0.484070436,White LED,100 mA,b'OK Read',11:26:05,6.058895851,0.160860791,0.009746388,3.072162694,0.186139138
2,C,64,50,0.450340883,0.550693077,0.785492697,0.826556438,0.750597411,0.607632308,White LED,100 mA,b'OK Read',11:28:06,6.058895851,0.160860791,0.009746388,3.072162694,0.186139138
2,D,64,50,0.34088132,0.467266448,0.734103003,0.768311681,0.659002628,0.490116816,White LED,100 mA,b'OK Read',11:30:00,6.058895851,0.160860791,0.009746388,3.072162694,0.186139138
3,A,64,50,0.234025897,0.300713898,0.49676686,0.561367267,0.656216135,0.586679464,White LED,100 mA,b'OK Read',12:37:53,6.417233627,14.98477248,0.961607859,7.723769073,0.495652306
3,B,64,50,0.36649094,0.352350773,0.661081255,0.725859766,0.792423337,0.637654718,White LED,100 mA,b'OK Read',12:39:55,6.417233627,14.98477248,0.961607859,7.723769073,0.495652306
3,C,64,50,0.181540564,0.223280076,0.455738393,0.508340536,0.672015789,0.651663189,White LED,100 mA,b'OK Read',12:41:59,6.417233627,14.98477248,0.961607859,7.723769073,0.495652306
3,D,64,50,0.235622905,0.268258282,0.473731728,0.555510873,0.605054089,0.543307097,White LED,100 mA,b'OK Read',12:44:01,6.417233627,14.98477248,0.961607859,7.723769073,0.495652306
4,A,64,50,0.393256349,0.499328276,0.825894131,0.878070492,0.855573974,0.717983937,White LED,100 mA,b'OK Read',10:13:06,6.08979402,15.9797255,0.973132368,6.087444513,0.370712832
4,B,64,50,0.310725277,0.374968752,0.671319103,0.71335596,0.762475851,0.626908912,White LED,100 mA,b'OK Read',10:15:12,6.08979402,15.9797255,0.973132368,6.087444513,0.370712832
